DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
UTRBRJ	US Guided Inj trochanteric bursa Rt	431227002	Injection of trochanteric bursa using ultrasound guidance (procedure)	T62.5	Injection into bursa							Y53.2	Approach to organ under ultrasonic control					Z84.3	Hip joint											
UTRKIB	US Guided biopsy transplanted kidney	440512006	Biopsy of transplanted kidney using ultrasound guidance (procedure)	M13.1	Percutaneous needle biopsy of lesion of kidney							Y53.2	Approach to organ under ultrasonic control																	
UTRLIB	US Guided biopsy transplanted liver	911671000000103	Biopsy of transplanted liver using ultrasonography guidance (procedure)	J14.1	Biopsy of liver NEC							Y53.2	Approach to organ under ultrasonic control																	
UTRPA	US Pancreas transplant	241474008	Ultrasound scan of transplant pancreas (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z31.1	Pancreas											
UTRPT	US Transrectal prostate	22034001	Echography of prostate, transrectal approach (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)	Y52.4	Peranal transrectal approach to organ			Z42.2	Prostate											
UTRPTB	US Guided biopsy prostate transrectal	431605004	Transrectal biopsy of prostate using ultrasound guidance (procedure)	M70.3	Rectal needle biopsy of prostate							Y53.2	Approach to organ under ultrasonic control																	
UTRRE	US Transplant kidney	241484009	Ultrasound scan of transplant kidney (procedure)	U12.3	Ultrasound of kidneys							Y98.1	Radiology of one body area (or < 20 minutes)																	
UTSPN	US Spine thoracic	432898007	Ultrasonography of thoracic spine (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.4	Thoracic vertebra											
UTTCC	Transthoracic Echocard complex Congen	772531000000105	Transthoracic echocardiography for complex congenital heart disease (procedure)	U20.1	Transthoracic echocardiography																									
UTUBOC	US Tubogram with contrast	713554007	Ultrasonography of tube device with contrast (procedure)	#HLT																										
UTUNDI	US Guided insertion tunnelled drain	858291000000108	Insertion of tunnelled drain using ultrasonography guidance (procedure)	#HLT																										
UTVOD	US Transvaginal obstetric dating	446920006	Transvaginal ultrasonography to determine the estimated date of confinement (procedure)	R36.1	Dating scan							Y50.3	Vaginal approach																	
UTVPED	US Guided transvaginal drainage pelvis	447263007	Drainage of pelvis by transvaginal approach using ultrasound guidance (procedure)	T45.8	Other specified image controlled operations on abdominal cavity							Y22.9	Unspecified drainage of organ NOC	Y50.3	Vaginal approach	Y53.2	Approach to organ under ultrasonic control													
UUDYN	US Bladder with flow rate	432104004	Ultrasonography of urinary bladder for flow rate (procedure)	U12.4	Ultrasound of bladder							Y98.1	Radiology of one body area (or < 20 minutes)																	
UULAB	US Doppler upper limb arteries Both	431324007	Doppler ultrasonography of artery of upper limb (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULAL	US Doppler upper limb arteries Lt	431324007	Doppler ultrasonography of artery of upper limb (procedure)	U11.2	Doppler ultrasound of vessels of extremities							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULAR	US Doppler upper limb arteries Rt	431324007	Doppler ultrasonography of artery of upper limb (procedure)	U11.2	Doppler ultrasound of vessels of extremities							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULCB	US Compression venography upper limb B	432692005	Compression ultrasonography of vein of upper limb (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULCL	US Compression venography upper limb Lt	432692005	Compression ultrasonography of vein of upper limb (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULCR	US Compression venography upper limb Rt	432692005	Compression ultrasonography of vein of upper limb (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULIB	US Quantitative upper limb Both	811681000000108	Quantitative ultrasonography of upper limb (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULIL	US Quantitative upper limb Left	811681000000108	Quantitative ultrasonography of upper limb (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULIR	US Quantitative upper limb Right	811681000000108	Quantitative ultrasonography of upper limb (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULVB	US Doppler upper limb veins Both	431818005	Doppler ultrasonography of vein of upper limb (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULVL	US Doppler upper limb veins Lt	431818005	Doppler ultrasonography of vein of upper limb (procedure)	U11.2	Doppler ultrasound of vessels of extremities							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UULVR	US Doppler upper limb veins Rt	431818005	Doppler ultrasonography of vein of upper limb (procedure)	U11.2	Doppler ultrasound of vessels of extremities							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.9	Arm NEC											
UUPABB	US Guided biopsy humerus Both	431982001	Biopsy of humerus using ultrasound guidance (procedure)	W36.2	Needle biopsy of lesion of bone NEC							Y53.2	Approach to organ under ultrasonic control					Z69.9	Humerus NEC											
UUPAL	US Upper arm Lt	427043003	Ultrasound scan of upper arm (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.2	Upper arm NEC											
UUPALB	US Guided biopsy humerus Lt	431982001	Biopsy of humerus using ultrasound guidance (procedure)	W36.2	Needle biopsy of lesion of bone NEC							Y53.2	Approach to organ under ultrasonic control					Z69.9	Humerus NEC											
UUPAR	US Upper arm Rt	427043003	Ultrasound scan of upper arm (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.2	Upper arm NEC											
UUPARB	US Guided biopsy humerus Rt	431982001	Biopsy of humerus using ultrasound guidance (procedure)	W36.2	Needle biopsy of lesion of bone NEC							Y53.2	Approach to organ under ultrasonic control					Z69.9	Humerus NEC											
UUPPA	US Upper abdomen	418398002	Ultrasound scan of upper abdomen (procedure)	U08.2	Ultrasound of abdomen							Y98.1	Radiology of one body area (or < 20 minutes)																	
UURTH	US Urethra	865041000000107	Ultrasonography of urethra (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.5	Urethra NEC											
UUTEBE	US Guided embolisation uterine artery B	841191000000109	Percutaneous transluminal embolisation of uterine artery using ultrasonography guidance (procedure)	L71.3	Percutaneous transluminal embolisation of artery							Y53.2	Approach to organ under ultrasonic control					Z96.6	Uterine artery											
UUTELE	US Guided embolisation uterine artery Lt	841191000000109	Percutaneous transluminal embolisation of uterine artery using ultrasonography guidance (procedure)	L71.3	Percutaneous transluminal embolisation of artery							Y53.2	Approach to organ under ultrasonic control					Z96.6	Uterine artery											
UUTERE	US Guided embolisation uterine artery Rt	841191000000109	Percutaneous transluminal embolisation of uterine artery using ultrasonography guidance (procedure)	L71.3	Percutaneous transluminal embolisation of artery							Y53.2	Approach to organ under ultrasonic control					Z96.6	Uterine artery											
UUTR	US Urinary tract	303917008	Ultrasound of urinary tract (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z41.9	Upper urinary tract NEC	Z42.9	Lower urinary tract NEC									
UVEBB	US Guid vacuum Ass excision breast Both	713699007	Vacuum assisted excision of breast using ultrasonographic guidance (procedure)	B28.9	Unspecified other excision of breast							Y53.2	Approach to organ under ultrasonic control																	
UVEBL	US Guid vacuum Ass excision breast Lt	713699007	Vacuum assisted excision of breast using ultrasonographic guidance (procedure)	B28.9	Unspecified other excision of breast							Y53.2	Approach to organ under ultrasonic control																	
UVEBR	US Guid vacuum Ass excision breast Rt	713699007	Vacuum assisted excision of breast using ultrasonographic guidance (procedure)	B28.9	Unspecified other excision of breast							Y53.2	Approach to organ under ultrasonic control																	
UVENE	US Guided venesection	378381000000102	Venesection using ultrasound guidance (procedure)	X36.2	Venesection							Y53.2	Approach to organ under ultrasonic control																	
UVMAP	US Vein map	431750009	Doppler ultrasonography flow mapping of vein (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)																	
UVOCA	Ultrasound vocal cord	844621000000101	Ultrasonography of vocal cord (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z24.2	Larynx											
UVOIU	US Voiding urosonography	1103261000000106	Ultrasound voiding urography with contrast (procedure)	U21.6	Ultrasound scan NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z41.9	Upper urinary tract NEC	Z42.9	Lower urinary tract NEC									
UVRET	US Venous return	1077231000000107	Ultrasonography of venous return (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z39.9	Vein NEC											
UVTAB	US Doppler vertebral artery Both	418956005	Ultrasound doppler scan of vertebral arteries (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z36.5	Vertebral artery											
UVTAL	US Doppler vertebral artery Lt	418956005	Ultrasound doppler scan of vertebral arteries (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z36.5	Vertebral artery											
UVTAR	US Doppler vertebral artery Rt	418956005	Ultrasound doppler scan of vertebral arteries (procedure)	U11.3	Vascular ultrasound NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z36.5	Vertebral artery											
UWLLE	US Guided guidewire localisation lesion	915381000000106	Wire guided localisation of lesion using ultrasonography guidance (procedure)									Y37.3	Insertion of wire marker into organ NOC	Y53.2	Approach to organ under ultrasonic control															
UWRIB	US Wrist Both	241499009	Ultrasonography of wrist (procedure)	U21.6	Ultrasound scan NEC							Y98.1	Radiology of one body area (or < 20 minutes)															O31.1	Wrist NEC	
UWRIBB	US Guided biopsy wrist Both	431811004	Biopsy of wrist using ultrasonographic guidance (procedure)	W88.1	Diagnostic endoscopic examination of joint and biopsy of lesion of joint NEC							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRIBJ	US Guided injection wrist Both	432234003	Injection of wrist using ultrasound guidance (procedure)	W90.4	Injection into joint NEC							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRIBN	US Guided aspiration wrist Both	432629009	Aspiration of wrist using ultrasound guidance (procedure)	W90.1	Aspiration of joint							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRIL	US Wrist Lt	241499009	Ultrasonography of wrist (procedure)	U13.2	Ultrasound of bone							Y98.1	Radiology of one body area (or < 20 minutes)															O31.1	Wrist NEC	
UWRILB	US Guided biopsy wrist Lt	431811004	Biopsy of wrist using ultrasonographic guidance (procedure)	W88.1	Diagnostic endoscopic examination of joint and biopsy of lesion of joint NEC							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRILJ	US Guided injection wrist Lt	432234003	Injection of wrist using ultrasound guidance (procedure)	W90.4	Injection into joint NEC							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRILN	US Guided aspiration wrist Lt	432629009	Aspiration of wrist using ultrasound guidance (procedure)	W90.1	Aspiration of joint							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRIR	US Wrist Rt	241499009	Ultrasonography of wrist (procedure)	U13.2	Ultrasound of bone							Y98.1	Radiology of one body area (or < 20 minutes)															O31.1	Wrist NEC	
UWRIRB	US Guided biopsy wrist Rt	431811004	Biopsy of wrist using ultrasonographic guidance (procedure)	W88.1	Diagnostic endoscopic examination of joint and biopsy of lesion of joint NEC							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRIRJ	US Guided injection wrist Rt	432234003	Injection of wrist using ultrasound guidance (procedure)	W90.4	Injection into joint NEC							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UWRIRN	US Guided aspiration wrist Rt	432629009	Aspiration of wrist using ultrasound guidance (procedure)	W90.1	Aspiration of joint							Y53.2	Approach to organ under ultrasonic control					Z82.8	Specified joint of wrist or hand NEC											
UXAABB	US Guided FNA and core Bx of axilla Both	431732002	Fine needle aspiration and core needle biopsy of axilla using ultrasound guidance (procedure)	#HLT																										
UXAALB	US Guided FNA and core biopsy axilla Lt	431732002	Fine needle aspiration and core needle biopsy of axilla using ultrasound guidance (procedure)	#HLT																										
UXAARB	US Guided FNA and core biopsy axilla Rt	431732002	Fine needle aspiration and core needle biopsy of axilla using ultrasound guidance (procedure)	#HLT																										
UXCBDL	Lithotripsy bile duct	431847003	Lithotripsy of bile duct using fluoroscopic guidance (procedure)	J52.8	Other specified other operations on bile duct							Y17.3	Lithotripsy of lesion of organ NOC	Y53.2	Approach to organ under ultrasonic control															
UXGBAL	Lithotripsy gall bladder	433137006	Lithotripsy of gall bladder using fluoroscopic guidance (procedure)	J24.2	Percutaneous fragmentation of calculus in gall bladder							Y53.4	Approach to organ under fluoroscopic control																	
UXORTL	Extracorporeal lithotripsy orthopaedic	432032006	Extracorporeal shockwave lithotripsy using fluoroscopic guidance (procedure)									Y17.3	Lithotripsy of lesion of organ NOC	Y53.2	Approach to organ under ultrasonic control															
UXPANL	Lithotripsy pancreas	432649000	Lithotripsy of pancreas using fluoroscopic guidance (procedure)	J68.8	Other specified other operations on pancreas							Y17.3	Lithotripsy of lesion of organ NOC	Y53.2	Approach to organ under ultrasonic control															
UXPENL	Lithotripsy penis	432650000	Lithotripsy of penis using fluoroscopic guidance (procedure)	N32.8	Other specified other operations on penis							Y17.3	Lithotripsy of lesion of organ NOC	Y53.2	Approach to organ under ultrasonic control															
UXREBL	Extracorporeal lithotripsy renal Both	431731009	Extracorporeal shockwave lithotripsy of the kidney using fluoroscopic guidance (procedure)	M14.1	Extracorporeal shock wave lithotripsy of calculus of kidney							Y53.4	Approach to organ under fluoroscopic control																	
UXRELL	Extracorporeal lithotripsy renal Lt	431731009	Extracorporeal shockwave lithotripsy of the kidney using fluoroscopic guidance (procedure)	M14.1	Extracorporeal shock wave lithotripsy of calculus of kidney							Y53.4	Approach to organ under fluoroscopic control																	
UXRERL	Extracorporeal lithotripsy renal Rt	431731009	Extracorporeal shockwave lithotripsy of the kidney using fluoroscopic guidance (procedure)	M14.1	Extracorporeal shock wave lithotripsy of calculus of kidney							Y53.4	Approach to organ under fluoroscopic control																	
UXSAGL	Lithotripsy salivary glands	432880008	Lithotripsy of salivary gland using fluoroscopic guidance (procedure)	F48.8	Other specified other operations on salivary gland							Y17.3	Lithotripsy of lesion of organ NOC	Y53.2	Approach to organ under ultrasonic control															
XABDO	XR Abdomen	60654006	Diagnostic radiography of abdomen (procedure)	U08.3	Plain x-ray of abdomen							Y98.1	Radiology of one body area (or < 20 minutes)																	
XABDOC	XR Abdomen with contrast	713565002	Plain X-ray of abdomen with contrast (procedure)	U08.3	Plain x-ray of abdomen							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
XABEVR	X-ray of abdominal aorta EVAR	1077691000000106	X-ray of endovascular aneurysm repair of abdominal aorta (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z34.7	Abdominal aorta NEC											
XACEB	XR Acetabulum Both	427961005	Radiographic imaging of acetabulum (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z75.6	Acetabulum											
XACEL	XR Acetabulum Lt	427961005	Radiographic imaging of acetabulum (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z75.6	Acetabulum											
XACER	XR Acetabulum Rt	427961005	Radiographic imaging of acetabulum (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z75.6	Acetabulum											
XACJB	XR Acromioclavicular joint Both	168633004	Acromioclavicular joint X-ray (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z81.2	Acromioclavicular joint											
XACJL	XR Acromioclavicular joint Lt	168633004	Acromioclavicular joint X-ray (procedure)	U13.4	Plain x-ray of joint							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.2	Acromioclavicular joint											
XACJR	XR Acromioclavicular joint Rt	168633004	Acromioclavicular joint X-ray (procedure)	U13.4	Plain x-ray of joint							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.2	Acromioclavicular joint											
XAJSB	XR Ankle joint with stress Both	168682004	Stress X-ray ankle joint (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z85.6	Ankle joint											
XAJSL	XR Ankle joint with stress Left	168682004	Stress X-ray ankle joint (procedure)	U13.4	Plain x-ray of joint							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint											
XAJSR	XR Ankle joint with stress Right	168682004	Stress X-ray ankle joint (procedure)	U13.4	Plain x-ray of joint							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint											
XANKB	XR Ankle Both	425703002	X-ray of both ankles (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z85.6	Ankle joint											
XANKL	XR Ankle Lt	426420006	X-ray of left ankle (procedure)	U13.4	Plain x-ray of joint							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint	Z94.3	Left sided operation									
XANKR	XR Ankle Rt	426721006	X-ray of right ankle (procedure)	U13.4	Plain x-ray of joint							Y98.1	Radiology of one body area (or < 20 minutes)					Z85.6	Ankle joint	Z94.2	Right sided operation									
XBDLS	DXA Bone densitometry lateral spine	726548004	Dual energy X-ray photon absorptiometry scan of lateral spine (procedure)	U13.1	Bone densitometry							Y98.1	Radiology of one body area (or < 20 minutes)															O16.2	Spine NEC	
XBDXW	DXA Whole body	440496005	Dual energy X-ray photon absorptiometry scan of whole body (procedure)	U21.8	Other specified diagnostic imaging procedures							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.8	Specified region of body NEC											
XBLAD	XR Bladder	305041000000109	X-ray of urinary bladder structure (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.1	Bladder NEC											
XBRMBI	XR Guid marker insertion breast Both	836381000000102	Insertion of marker into breast using X-ray guidance (procedure)	B37.8	Other specified other operations on breast							Y37.4	Insertion of marker into organ NOC	Y53.1	Approach to organ under radiological control															
XBRMLI	XR Guid marker insertion breast Left	836381000000102	Insertion of marker into breast using X-ray guidance (procedure)	B37.8	Other specified other operations on breast							Y37.4	Insertion of marker into organ NOC	Y53.1	Approach to organ under radiological control															
XBRMRI	XR Guid marker insertion breast Right	836381000000102	Insertion of marker into breast using X-ray guidance (procedure)	B37.8	Other specified other operations on breast							Y37.4	Insertion of marker into organ NOC	Y53.1	Approach to organ under radiological control															
XBRRBB	XR Guided radiofrequency Bx breast Both	448336005	Radiofrequency biopsy of breast using X-ray guidance (procedure)	B32.9	Unspecified biopsy of breast							Y53.1	Approach to organ under radiological control																	
XBRRLB	XR Guided radiofrequency Bx breast Left	448336005	Radiofrequency biopsy of breast using X-ray guidance (procedure)	B32.9	Unspecified biopsy of breast							Y53.1	Approach to organ under radiological control																	
XBRRRB	XR Guided radiofrequency Bx breast Right	448336005	Radiofrequency biopsy of breast using X-ray guidance (procedure)	B32.9	Unspecified biopsy of breast							Y53.1	Approach to organ under radiological control																	
XBRTB	XR Breast tomosynthesis Both	723780005	Digital tomosynthesis of bilateral breasts (procedure)	U18.8	Other specified diagnostic imaging of breast							Y98.1	Radiology of one body area (or < 20 minutes)					Z94.1	Bilateral operation											
XBRTBB	XR Tomosynthesis Guid biopsy breast Both	1093271000000109	Biopsy of bilateral breasts using digital tomosynthesis guidance (procedure)	B32.9	Unspecified biopsy of breast							Y53.1	Approach to organ under radiological control					Z94.1	Bilateral operation											
XBRTL	XR Breast tomosynthesis Left	723779007	Digital tomosynthesis of left breast (procedure)	U18.8	Other specified diagnostic imaging of breast							Y98.1	Radiology of one body area (or < 20 minutes)					Z94.3	Left sided operation											
XBRTLB	XR Tomosynthesis Guid biopsy breast Left	1093281000000106	Biopsy of left breast using digital tomosynthesis guidance (procedure)	B32.9	Unspecified biopsy of breast							Y53.1	Approach to organ under radiological control					Z94.3	Left sided operation											
XBRTR	XR Breast tomosynthesis Right	723778004	Digital tomosynthesis of right breast (procedure)	U18.8	Other specified diagnostic imaging of breast							Y98.1	Radiology of one body area (or < 20 minutes)					Z94.2	Right sided operation											
XBRTRB	XR Tomosynthesis Guid biopsy breast Rt	1093291000000108	Biopsy of right breast using digital tomosynthesis guidance (procedure)	B32.9	Unspecified biopsy of breast							Y53.1	Approach to organ under radiological control					Z94.2	Right sided operation											
XCALB	XR Calcaneus Both	37815002	Diagnostic radiography of calcaneus (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z79.2	Os calcis											
XCALL	XR Calcaneus Lt	37815002	Diagnostic radiography of calcaneus (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z79.2	Os calcis											
XCALR	XR Calcaneus Rt	37815002	Diagnostic radiography of calcaneus (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z79.2	Os calcis											
XCATB	XR Carpal tunnel Both	241072004	Carpal tunnel X-ray (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z82.8	Specified joint of wrist or hand NEC											
XCATL	XR Carpal tunnel Lt	241072004	Carpal tunnel X-ray (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z82.8	Specified joint of wrist or hand NEC											
XCATR	XR Carpal tunnel Rt	241072004	Carpal tunnel X-ray (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z82.8	Specified joint of wrist or hand NEC											
XCEMB	XR Cont enhanced spectral mammography B	726551006	Contrast enhanced spectral mammography (procedure)	U18.3	Mammography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
XCEML	XR Cont enhanced spectral mammography Lt	726551006	Contrast enhanced spectral mammography (procedure)	U18.3	Mammography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
XCEMR	XR Cont enhanced spectral mammography Rt	726551006	Contrast enhanced spectral mammography (procedure)	U18.3	Mammography							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
XCEP	XR Cephalogram	19961003	Orthodontic cephalogram (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z25.3	Tooth NEC											
XCHAB	XR Chest and abdomen	420233006	X-ray of chest and abdomen (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z92.4	Chest NEC	Z92.6	Abdomen NEC									
XCHES	XR Chest	399208008	Plain chest X-ray (procedure)	U07.3	Plain x-ray of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
XCHOA	Cholangiogram explanted liver	913181000000109	Cholangiogram of explanted liver (procedure)	J50.2	Percutaneous cholangiography NEC																									
XCHSA	XR Chest AP view	394421000119103	Plain x-ray of chest anteroposterior view (procedure)	U07.3	Plain x-ray of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
XCHSP	XR Chest PA view	486261000119109	Plain x-ray of chest posteroanterior view (procedure)	U07.3	Plain x-ray of chest							Y98.1	Radiology of one body area (or < 20 minutes)																	
XCLAB	XR Clavicle Both	168594001	Plain X-ray of clavicle (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.1	Clavicle											
XCLAL	XR Clavicle Lt	168594001	Plain X-ray of clavicle (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.1	Clavicle											
XCLAR	XR Clavicle Rt	168594001	Plain X-ray of clavicle (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z68.1	Clavicle											
XCOCX	XR Coccyx	24856003	Diagnostic radiography of coccyx (procedure)	U13.5	Plain x-ray of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z75.7	Coccyx											
XCOIB	XR Cochlear implant Both	445844000	X-ray of cochlear implant (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
XCOIL	XR Cochlear implant Left	445844000	X-ray of cochlear implant (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
XCOIR	XR Cochlear implant Right	445844000	X-ray of cochlear implant (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z21.4	Cochlea											
XCOLT	XR Colonic transit study	418181007	X-ray for colonic transit study (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z28.7	Colon NEC											
XCSFE	XR Cervical spine flexion and extension	1097801000000109	Diagnostic radiography of cervical spine with flexion and extension studies (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.3	Cervical vertebra											
XCSFS	XR Cerebro-spinal fluid shunt	445515006	X-ray of cerebrospinal fluid shunt (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z06.5	Cerebrospinal fluid											
XCSPN	XR Cervical spine	66769009	Radiography of cervical spine (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.3	Cervical vertebra											
XCTJN	XR Cervicothoracic junction	241092006	Cervicothoracic junction X-ray (procedure)	U21.7	Plain x-ray NEC							Y98.2	Radiology of two body areas					Z66.3	Cervical vertebra	Z66.4	Thoracic vertebra									
XCYST	XR Cystometrogram	433155002	X-ray cystometrogram (procedure)	U21.7	Plain x-ray NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.1	Bladder NEC											
XDBWL	XR Dental bitewing Left	241046008	Dental X-ray bitewing (procedure)	U04.1	Bitewing radiology							Y98.1	Radiology of one body area (or < 20 minutes)																	
XDBWR	XR Dental bitewing Right	241046008	Dental X-ray bitewing (procedure)	U04.1	Bitewing radiology							Y98.1	Radiology of one body area (or < 20 minutes)																	
XDEXA	Bone densitometry DXA	241686001	Dual energy X-ray photon absorptiometry (procedure)	U13.1	Bone densitometry							Y98.1	Radiology of one body area (or < 20 minutes)																	
XDLAOQ	XR Dental mandibular anterior occlusal	719868004	Mandibular anterior occlusal plain X-ray (procedure)	U04.3	Occlusal radiology							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
XDLO	XR Dental mandibular occlusal	241050001	Mandibular occlusal X-ray (procedure)	U04.3	Occlusal radiology							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
XDMTOQ	XR Dental mandibular true occlusal	719869007	Mandibular true occlusal plain X-ray (procedure)	U04.3	Occlusal radiology							Y98.1	Radiology of one body area (or < 20 minutes)					Z65.1	Mandible											
